ID,Gender,Nationality,Major,Level,IE1,SMSK3,RAS1,RAS2,SMSK1,SMSK4,IE2,TL1,RAS3,IE3,RAS4,RAS5,IE4,SMSK2,TL2,TL3,PSD1,PSD2,PSD3,IE5,PSD4,PSD5,IM1,IM2,IM3,IM4,IM5,IM6,W1,W2,W3,Employed,Score,Class
104,0,0,0,2,3,3,4,4,3,3,3,3,4,2,3,2,3,3,1,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,2,1,3.19,0
105,0,0,1,3,3,4,4,3,4,4,4,4,4,3,4,4,4,3,3,4,4,3,3,3,3,4,3,3,3,4,3,3,4,4,3,1,3.8,0
106,1,0,1,2,4,2,3,3,2,3,3,2,3,3,4,4,3,2,2,2,2,2,3,2,3,2,3,3,2,1,2,2,4,3,2,0,3.88,0
107,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,1,4,1,1,3.06,1
108,0,0,1,3,3,3,3,4,4,3,3,3,4,4,4,4,3,3,3,2,2,4,3,3,4,3,4,3,3,4,3,3,4,4,4,1,0,0
109,1,0,1,2,3,3,3,4,3,3,4,4,4,3,4,2,3,3,3,3,4,3,3,3,3,2,2,2,3,3,3,2,4,4,2,1,3.77,0
110,0,0,1,2,4,3,4,4,4,3,3,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,1,3.08,1
111,0,0,0,2,3,4,2,3,3,4,4,3,2,3,3,3,3,4,4,4,2,4,4,3,3,3,3,2,4,4,3,3,4,3,1,1,3.69,0
112,0,0,1,2,3,2,4,4,3,3,4,4,4,2,4,3,1,3,3,3,2,3,2,2,3,2,2,2,3,2,2,2,4,3,1,1,4,0
113,0,0,0,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,4,4,4,3,3,3,3,3,3,2,2,2,3,3,3,3,1,3.94,0
114,0,0,1,2,3,4,4,4,4,4,3,4,4,4,4,3,4,4,3,4,4,4,4,3,4,4,3,3,4,3,3,3,4,4,3,1,3.94,0
115,1,1,0,2,4,2,3,4,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,1,3.75,1
116,0,0,1,2,3,3,4,4,4,3,3,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,1,3.58,1
117,0,0,1,2,4,3,3,4,3,3,3,3,3,2,4,4,4,4,4,4,3,3,4,3,3,3,3,3,4,4,2,2,,,,0,3.89,0
118,0,1,1,2,3,2,3,3,2,3,3,2,3,2,4,3,2,3,2,1,3,3,3,2,2,2,3,3,4,3,3,3,2,2,3,1,3.56,0
119,1,0,0,1,3,4,4,3,4,3,3,4,4,3,3,3,3,3,4,4,3,3,4,4,3,3,3,3,4,4,4,3,3,4,4,1,3.48,0
120,0,0,0,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,1,1,3.75,0
121,0,0,1,2,3,4,4,4,3,3,3,4,4,4,4,3,3,3,3,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,,1,3.85,1
122,0,0,0,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,4,4,4,4,4,4,4,,,,0,3.65,1
123,1,0,0,1,4,4,3,3,4,4,3,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,1,3.38,1
124,1,0,0,2,4,4,4,3,3,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,3,1,3.97,1
125,1,1,0,2,3,3,3,3,2,2,3,2,1,1,1,1,2,2,2,3,3,3,3,2,3,3,4,4,4,4,4,3,3,4,3,1,3.25,1
126,0,0,0,2,3,3,2,4,3,3,2,3,2,3,1,3,2,4,4,3,4,3,3,3,2,1,3,4,4,4,3,3,4,4,2,1,3.95,0
127,0,0,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,1
128,1,0,0,2,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,3,1,3.6,1
129,1,0,1,3,4,3,4,4,1,3,3,4,3,4,4,1,3,1,2,4,4,4,2,4,3,4,3,3,4,4,3,3,4,1,1,1,2.61,0
130,1,0,1,3,3,4,4,4,4,3,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,3,4,4,3,3,3,3,3,4,3,1,3.06,0
131,1,0,1,2,3,2,3,3,2,3,3,4,3,2,4,2,3,3,3,3,3,3,3,2,2,3,3,4,4,3,3,3,1,1,1,1,3.71,0
132,0,0,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,3,4,4,1,3.92,1
133,1,0,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4,4,1,3.5,1
134,1,0,1,2,3,3,3,3,2,3,4,2,1,2,1,1,1,1,2,2,4,3,2,2,1,1,2,3,4,4,1,3,3,3,3,1,3.33,0
135,0,0,1,2,4,1,3,3,3,4,4,4,3,3,3,4,3,4,2,3,3,4,2,3,3,4,3,3,4,4,3,4,,2,,0,3.52,0
136,1,0,1,2,4,4,4,4,4,3,4,4,4,3,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,1,1,3.38,1
137,1,0,0,2,4,4,4,4,4,4,4,4,4,4,4,2,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,1,1,3.69,1
138,0,0,0,2,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3.82,1
139,0,1,0,2,4,4,4,4,4,4,4,4,3,3,4,2,3,4,3,3,3,2,3,3,3,3,4,4,3,4,4,4,3,4,1,1,3.55,1
140,1,0,1,2,1,1,1,3,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3.56,0
141,0,0,0,2,3,3,4,3,4,4,3,4,4,3,4,2,3,4,4,4,4,3,4,3,4,4,3,3,4,4,4,3,3,4,4,1,3.35,0
142,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,2,2,3,3,3,3,1,3.32,0
143,1,0,0,2,4,3,4,4,3,4,4,3,4,4,4,4,4,3,4,3,4,4,4,4,3,4,3,4,4,4,4,4,4,4,3,1,3.65,1
144,0,0,1,2,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,1,3.14,1
145,1,0,0,2,3,3,3,3,3,2,3,2,3,3,3,2,1,1,3,4,2,2,1,1,2,3,1,3,2,2,3,2,3,3,,1,3.75,0
146,0,1,0,2,4,4,3,3,3,3,4,4,3,4,4,3,4,4,4,4,4,4,3,3,4,3,4,3,4,2,3,2,4,4,4,1,4,0
147,1,0,1,2,4,4,4,4,4,4,4,4,4,3,4,2,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,2,4,3,1,1,3.13,0
148,0,0,1,2,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,3,1,3.5,1
149,0,0,1,2,4,3,4,4,4,3,4,3,4,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,,1,3.05,0
150,1,0,1,3,3,3,3,3,3,3,3,3,4,3,3,2,3,3,3,3,3,3,3,3,4,4,4,3,3,3,2,3,4,4,4,1,0,0
151,0,1,0,1,4,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,3,3,3,,1,3.05,1
152,0,0,0,1,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,,1,3.8,1
153,1,0,1,2,1,4,4,3,4,3,4,4,4,4,4,3,3,4,4,4,3,4,3,4,4,3,3,4,4,4,4,4,4,4,1,1,3.78,1
154,0,0,0,1,3,2,3,4,3,3,3,4,3,2,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,4,4,3,,,,,3.4,0
155,1,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,1,3.69,1
156,1,0,1,2,3,3,4,3,3,4,3,3,3,3,2,2,3,3,2,3,3,3,2,2,2,2,3,3,3,2,3,3,4,4,4,1,3.68,0
157,1,1,0,2,4,2,4,4,2,3,4,3,4,4,3,1,3,4,3,3,4,3,4,3,3,4,4,4,4,3,4,3,4,4,,1,3.89,1
158,1,0,0,2,3,3,3,3,3,2,3,3,3,3,3,2,3,3,2,3,3,3,2,3,3,3,3,3,4,3,3,3,3,2,1,1,3.71,0
159,1,0,0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,2.93,1
160,1,0,0,1,3,3,2,3,2,3,3,4,3,3,3,2,3,2,2,3,3,3,3,4,4,2,4,3,4,4,4,4,3,4,1,1,3.73,1
161,1,0,0,2,3,3,3,3,1,2,3,3,2,3,3,1,3,3,3,3,3,3,3,3,3,1,4,4,4,4,4,4,3,3,3,1,3.54,1
162,0,0,0,2,3,3,3,3,2,3,3,3,3,3,3,3,3,2,2,3,3,2,3,2,3,3,4,3,3,3,3,3,3,2,3,1,3.55,0
163,0,0,0,2,3,3,4,3,1,2,4,4,3,3,3,3,3,3,2,3,4,4,4,3,3,3,1,1,1,1,3,1,2,3,1,1,3.96,0
164,0,0,1,2,3,3,4,4,2,2,3,3,4,3,3,3,3,3,2,3,3,3,3,2,3,3,3,4,4,4,2,1,2,2,1,1,3.17,0
165,0,0,0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3.27,1
166,0,0,1,2,3,4,3,4,3,2,2,3,4,1,3,2,2,3,2,4,3,3,3,3,2,2,3,4,3,3,3,2,2,3,2,1,3.81,0
167,0,0,0,2,3,3,3,2,1,2,3,3,3,3,3,1,3,3,3,3,3,3,1,3,2,3,2,2,3,3,3,1,2,3,1,1,3.92,0
